time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:09:38.827238,150,12
2025/07/11/14:09:38.877259,156,19
2025/07/11/14:09:38.927249,156,6
2025/07/11/14:09:38.977235,156,19
2025/07/11/14:09:39.027231,156,0
2025/07/11/14:09:39.077242,156,6
2025/07/11/14:09:39.127224,162,6
2025/07/11/14:09:39.177447,168,6
2025/07/11/14:09:39.227282,162,6
2025/07/11/14:09:39.277230,168,0
2025/07/11/14:09:39.327253,162,0
2025/07/11/14:09:39.377489,162,6
2025/07/11/14:09:39.427239,156,0
2025/07/11/14:09:39.477286,162,0
2025/07/11/14:09:39.527340,168,0
2025/07/11/14:09:39.577332,162,0
2025/07/11/14:09:39.627234,156,0
2025/07/11/14:09:39.677586,156,0
2025/07/11/14:09:39.727260,156,12
2025/07/11/14:09:39.777530,156,6
2025/07/11/14:09:39.827250,150,6
2025/07/11/14:09:39.877491,150,19
2025/07/11/14:09:39.927155,150,12
2025/07/11/14:09:39.977511,150,25
2025/07/11/14:09:40.027145,150,31
2025/07/11/14:09:40.077477,150,31
2025/07/11/14:09:40.127162,143,44
2025/07/11/14:09:40.177294,150,37
2025/07/11/14:09:40.227129,150,50
2025/07/11/14:09:40.277472,162,56
2025/07/11/14:09:40.327358,156,50
2025/07/11/14:09:40.377087,156,62
2025/07/11/14:09:40.427088,162,69
2025/07/11/14:09:40.477423,162,69
2025/07/11/14:09:40.527159,150,81
2025/07/11/14:09:40.577250,156,87
2025/07/11/14:09:40.627147,150,75
2025/07/11/14:09:40.677229,150,93
2025/07/11/14:09:40.727212,150,87
2025/07/11/14:09:40.777270,162,81
2025/07/11/14:09:40.827168,156,93
2025/07/11/14:09:40.877221,156,93
2025/07/11/14:09:40.927089,156,100
2025/07/11/14:09:40.977252,156,112
2025/07/11/14:09:41.027140,156,106
2025/07/11/14:09:41.077173,156,118
2025/07/11/14:09:41.127152,162,112
2025/07/11/14:09:41.177127,168,125
2025/07/11/14:09:41.227158,162,125
2025/07/11/14:09:41.277118,162,131
2025/07/11/14:09:41.327171,162,125
2025/07/11/14:09:41.377099,162,131
2025/07/11/14:09:41.427179,162,131
2025/07/11/14:09:41.477159,175,131
2025/07/11/14:09:41.527134,175,137
2025/07/11/14:09:41.577439,168,137
2025/07/11/14:09:41.627226,162,137
2025/07/11/14:09:41.677435,168,143
2025/07/11/14:09:41.727290,168,143
2025/07/11/14:09:41.777299,162,150
2025/07/11/14:09:41.827212,162,143
2025/07/11/14:09:41.877275,162,156
2025/07/11/14:09:41.927227,162,156
2025/07/11/14:09:41.977492,150,150
2025/07/11/14:09:42.027259,162,156
2025/07/11/14:09:42.077546,162,162
2025/07/11/14:09:42.127260,168,168
2025/07/11/14:09:42.177437,168,162
2025/07/11/14:09:42.227278,156,156
2025/07/11/14:09:42.277591,168,162
2025/07/11/14:09:42.327327,156,162
2025/07/11/14:09:42.377445,162,156
2025/07/11/14:09:42.427252,162,162
2025/07/11/14:09:42.477760,162,156
2025/07/11/14:09:42.527292,156,162
2025/07/11/14:09:42.577526,150,162
2025/07/11/14:09:42.627265,156,162
2025/07/11/14:09:42.677326,150,162
2025/07/11/14:09:42.727292,143,156
2025/07/11/14:09:42.777321,137,162
2025/07/11/14:09:42.827258,143,156
2025/07/11/14:09:42.877338,131,156
2025/07/11/14:09:42.927252,137,150
2025/07/11/14:09:42.977512,131,150
2025/07/11/14:09:43.027311,137,150
2025/07/11/14:09:43.077363,137,150
2025/07/11/14:09:43.127354,131,156
2025/07/11/14:09:43.177367,118,156
2025/07/11/14:09:43.227316,125,150
2025/07/11/14:09:43.277398,125,156
2025/07/11/14:09:43.327259,125,156
2025/07/11/14:09:43.377445,118,156
2025/07/11/14:09:43.427215,106,150
2025/07/11/14:09:43.477226,106,156
2025/07/11/14:09:43.527244,112,150
2025/07/11/14:09:43.577251,106,150
2025/07/11/14:09:43.627232,106,150
2025/07/11/14:09:43.677282,106,162
2025/07/11/14:09:43.727250,93,156
2025/07/11/14:09:43.777252,81,150
2025/07/11/14:09:43.827297,81,143
2025/07/11/14:09:43.877306,75,150
2025/07/11/14:09:43.927344,75,150
2025/07/11/14:09:43.977525,75,143
2025/07/11/14:09:44.027260,69,137
2025/07/11/14:09:44.077299,69,150
2025/07/11/14:09:44.127259,62,150
2025/07/11/14:09:44.177379,56,156
2025/07/11/14:09:44.227283,56,150
