time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:06:03.377332,0,0
2025/07/11/14:06:03.427197,0,0
2025/07/11/14:06:03.477151,0,0
2025/07/11/14:06:03.527197,0,0
2025/07/11/14:06:03.577420,0,0
2025/07/11/14:06:03.627234,0,0
2025/07/11/14:06:03.677541,0,0
2025/07/11/14:06:03.727182,0,0
2025/07/11/14:06:03.777103,0,0
2025/07/11/14:06:03.827146,0,0
2025/07/11/14:06:03.877115,0,0
2025/07/11/14:06:03.927227,0,0
2025/07/11/14:06:03.977404,0,0
2025/07/11/14:06:04.027258,0,0
2025/07/11/14:06:04.077552,0,0
2025/07/11/14:06:04.127480,0,0
2025/07/11/14:06:04.177361,0,0
2025/07/11/14:06:04.227262,0,0
2025/07/11/14:06:04.277210,0,0
2025/07/11/14:06:04.327253,0,0
2025/07/11/14:06:04.377333,0,0
2025/07/11/14:06:04.427295,0,0
2025/07/11/14:06:04.477401,0,0
2025/07/11/14:06:04.527336,0,0
2025/07/11/14:06:04.577366,0,0
2025/07/11/14:06:04.627281,0,0
2025/07/11/14:06:04.677322,0,0
2025/07/11/14:06:04.727300,0,0
2025/07/11/14:06:04.777467,0,0
2025/07/11/14:06:04.827224,0,0
2025/07/11/14:06:04.877487,0,0
2025/07/11/14:06:04.927334,0,0
2025/07/11/14:06:04.977531,0,0
2025/07/11/14:06:05.027304,0,0
2025/07/11/14:06:05.077289,0,0
2025/07/11/14:06:05.127280,0,0
2025/07/11/14:06:05.177507,0,0
2025/07/11/14:06:05.227278,0,0
2025/07/11/14:06:05.277564,0,0
2025/07/11/14:06:05.327701,0,0
2025/07/11/14:06:05.377566,0,0
2025/07/11/14:06:05.427333,0,0
2025/07/11/14:06:05.477282,0,0
2025/07/11/14:06:05.527566,0,0
2025/07/11/14:06:05.577310,0,0
2025/07/11/14:06:05.627590,0,0
2025/07/11/14:06:05.677529,0,0
2025/07/11/14:06:05.727572,0,0
2025/07/11/14:06:05.777526,0,0
2025/07/11/14:06:05.827264,0,0
2025/07/11/14:06:05.877339,0,0
2025/07/11/14:06:05.927702,0,0
2025/07/11/14:06:05.977552,0,0
2025/07/11/14:06:06.027425,0,0
2025/07/11/14:06:06.077605,0,0
2025/07/11/14:06:06.127386,0,0
2025/07/11/14:06:06.177655,0,0
2025/07/11/14:06:06.227614,0,0
2025/07/11/14:06:06.277356,0,0
2025/07/11/14:06:06.327602,0,0
2025/07/11/14:06:06.377545,0,0
2025/07/11/14:06:06.427389,0,0
2025/07/11/14:06:06.477587,0,0
2025/07/11/14:06:06.527386,0,0
2025/07/11/14:06:06.577567,0,0
2025/07/11/14:06:06.627433,0,0
2025/07/11/14:06:06.677351,0,0
2025/07/11/14:06:06.727347,0,0
2025/07/11/14:06:06.777596,0,0
2025/07/11/14:06:06.827450,0,0
2025/07/11/14:06:06.877601,0,0
2025/07/11/14:06:06.927273,0,0
2025/07/11/14:06:06.977610,0,0
2025/07/11/14:06:07.027385,0,0
2025/07/11/14:06:07.077290,0,0
2025/07/11/14:06:07.127416,0,0
2025/07/11/14:06:07.177681,0,0
2025/07/11/14:06:07.227370,0,0
2025/07/11/14:06:07.277592,0,0
2025/07/11/14:06:07.327443,0,0
2025/07/11/14:06:07.377459,0,0
2025/07/11/14:06:07.427350,0,0
2025/07/11/14:06:07.477352,0,0
2025/07/11/14:06:07.527360,0,0
2025/07/11/14:06:07.577428,0,0
2025/07/11/14:06:07.627320,0,0
2025/07/11/14:06:07.677619,0,0
2025/07/11/14:06:07.727316,0,0
2025/07/11/14:06:07.777333,0,0
2025/07/11/14:06:07.827262,0,0
2025/07/11/14:06:07.877430,0,0
2025/07/11/14:06:07.927294,0,0
2025/07/11/14:06:07.977475,0,0
2025/07/11/14:06:08.027327,0,0
2025/07/11/14:06:08.077525,0,0
2025/07/11/14:06:08.127358,0,0
2025/07/11/14:06:08.177253,0,0
2025/07/11/14:06:08.227313,0,0
2025/07/11/14:06:08.277313,0,0
2025/07/11/14:06:08.327226,0,0
2025/07/11/14:06:08.377264,0,0
2025/07/11/14:06:08.427193,0,0
2025/07/11/14:06:08.477193,0,0
2025/07/11/14:06:08.527206,0,0
2025/07/11/14:06:08.577189,0,0
2025/07/11/14:06:08.627070,0,0
2025/07/11/14:06:08.677120,0,0
2025/07/11/14:06:08.727113,0,0
2025/07/11/14:06:08.776996,0,0
2025/07/11/14:06:08.827166,0,0
2025/07/11/14:06:08.877146,0,0
2025/07/11/14:06:08.927217,0,0
2025/07/11/14:06:08.977207,0,0
2025/07/11/14:06:09.027640,0,0
2025/07/11/14:06:09.077284,0,0
2025/07/11/14:06:09.127629,0,0
2025/07/11/14:06:09.177387,0,0
2025/07/11/14:06:09.227286,0,0
2025/07/11/14:06:09.277635,0,0
2025/07/11/14:06:09.327538,0,0
2025/07/11/14:06:09.377512,0,0
2025/07/11/14:06:09.427476,0,0
2025/07/11/14:06:09.477286,0,0
2025/07/11/14:06:09.527220,0,0
2025/07/11/14:06:09.577202,0,0
2025/07/11/14:06:09.627262,0,0
2025/07/11/14:06:09.677535,0,0
2025/07/11/14:06:09.727529,0,0
2025/07/11/14:06:09.777569,0,0
2025/07/11/14:06:09.827337,0,0
2025/07/11/14:06:09.877434,0,0
2025/07/11/14:06:09.927377,0,0
2025/07/11/14:06:09.977676,0,0
2025/07/11/14:06:10.027533,0,0
2025/07/11/14:06:10.077735,0,0
2025/07/11/14:06:10.127292,0,0
2025/07/11/14:06:10.177398,0,0
2025/07/11/14:06:10.227582,0,0
2025/07/11/14:06:10.277386,0,0
2025/07/11/14:06:10.327411,0,0
2025/07/11/14:06:10.377519,0,0
2025/07/11/14:06:10.427642,0,0
2025/07/11/14:06:10.477524,0,0
2025/07/11/14:06:10.527600,0,0
2025/07/11/14:06:10.577506,0,0
2025/07/11/14:06:10.627614,0,0
2025/07/11/14:06:10.677285,0,0
2025/07/11/14:06:10.727513,0,0
