time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:07:38.827178,100,50
2025/07/11/14:07:38.877273,112,37
2025/07/11/14:07:38.927120,112,31
2025/07/11/14:07:38.977471,118,50
2025/07/11/14:07:39.027181,106,50
2025/07/11/14:07:39.077121,118,56
2025/07/11/14:07:39.127258,125,50
2025/07/11/14:07:39.177354,125,50
2025/07/11/14:07:39.227152,131,50
2025/07/11/14:07:39.277224,131,44
2025/07/11/14:07:39.327238,131,44
2025/07/11/14:07:39.377093,131,50
2025/07/11/14:07:39.427213,137,44
2025/07/11/14:07:39.477209,131,50
2025/07/11/14:07:39.527002,131,44
2025/07/11/14:07:39.577173,137,37
2025/07/11/14:07:39.627313,131,31
2025/07/11/14:07:39.677113,143,31
2025/07/11/14:07:39.727338,143,44
2025/07/11/14:07:39.777254,143,31
2025/07/11/14:07:39.827130,150,31
2025/07/11/14:07:39.877582,150,31
2025/07/11/14:07:39.927141,150,31
2025/07/11/14:07:39.977640,150,31
2025/07/11/14:07:40.027254,156,25
2025/07/11/14:07:40.077199,156,25
2025/07/11/14:07:40.127295,162,25
2025/07/11/14:07:40.177249,162,12
2025/07/11/14:07:40.227242,156,12
2025/07/11/14:07:40.277567,150,12
2025/07/11/14:07:40.327222,156,6
2025/07/11/14:07:40.377180,156,6
2025/07/11/14:07:40.427320,156,19
2025/07/11/14:07:40.477511,162,0
2025/07/11/14:07:40.527247,156,19
2025/07/11/14:07:40.577547,156,19
2025/07/11/14:07:40.627213,156,0
2025/07/11/14:07:40.677138,162,6
2025/07/11/14:07:40.727314,162,6
2025/07/11/14:07:40.777213,162,12
2025/07/11/14:07:40.827219,162,0
2025/07/11/14:07:40.877004,156,0
2025/07/11/14:07:40.927189,162,19
2025/07/11/14:07:40.977006,156,19
2025/07/11/14:07:41.027217,162,6
2025/07/11/14:07:41.077252,156,25
2025/07/11/14:07:41.127141,156,12
2025/07/11/14:07:41.177162,150,25
2025/07/11/14:07:41.227073,150,19
2025/07/11/14:07:41.277175,143,25
2025/07/11/14:07:41.327103,150,44
2025/07/11/14:07:41.377247,150,50
2025/07/11/14:07:41.427179,150,44
2025/07/11/14:07:41.477213,162,50
2025/07/11/14:07:41.527038,156,50
2025/07/11/14:07:41.577352,150,56
2025/07/11/14:07:41.626962,156,69
2025/07/11/14:07:41.677104,150,56
2025/07/11/14:07:41.727111,156,75
2025/07/11/14:07:41.776932,156,75
2025/07/11/14:07:41.826919,143,75
2025/07/11/14:07:41.877035,156,81
2025/07/11/14:07:41.927053,156,87
2025/07/11/14:07:41.977061,156,75
2025/07/11/14:07:42.027066,150,81
2025/07/11/14:07:42.077068,156,87
2025/07/11/14:07:42.127142,156,87
2025/07/11/14:07:42.177179,156,93
2025/07/11/14:07:42.227130,162,106
2025/07/11/14:07:42.277319,150,112
2025/07/11/14:07:42.327246,156,106
2025/07/11/14:07:42.377509,156,118
2025/07/11/14:07:42.427158,162,118
2025/07/11/14:07:42.477314,175,125
2025/07/11/14:07:42.527121,168,131
2025/07/11/14:07:42.577205,162,131
2025/07/11/14:07:42.627105,156,131
2025/07/11/14:07:42.677119,162,137
2025/07/11/14:07:42.727167,162,137
2025/07/11/14:07:42.777150,168,137
2025/07/11/14:07:42.827155,156,137
2025/07/11/14:07:42.877203,168,143
2025/07/11/14:07:42.927124,162,143
2025/07/11/14:07:42.977155,162,143
2025/07/11/14:07:43.027204,162,143
2025/07/11/14:07:43.077238,168,150
2025/07/11/14:07:43.127253,168,150
2025/07/11/14:07:43.177335,175,156
2025/07/11/14:07:43.227111,168,162
2025/07/11/14:07:43.277333,168,156
2025/07/11/14:07:43.327443,168,156
2025/07/11/14:07:43.377129,162,150
2025/07/11/14:07:43.427280,168,156
2025/07/11/14:07:43.477232,156,156
2025/07/11/14:07:43.527304,150,143
2025/07/11/14:07:43.577302,150,156
2025/07/11/14:07:43.627120,156,168
2025/07/11/14:07:43.677333,156,162
2025/07/11/14:07:43.727164,168,162
2025/07/11/14:07:43.777124,156,162
2025/07/11/14:07:43.827123,150,162
2025/07/11/14:07:43.877316,156,168
2025/07/11/14:07:43.927170,150,162
2025/07/11/14:07:43.977083,156,156
2025/07/11/14:07:44.027071,143,156
