time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2025/07/11/14:10:41.121342,0.21285903349064772,0.0,0.0,0.0,0.0,-0.8643086929257002
2025/07/11/14:10:41.170471,0.21106800213804333,0.0,0.0,0.0,0.0,-0.8855337038501366
2025/07/11/14:10:41.221319,0.2096432308278574,0.0,0.0,0.0,0.0,-0.9038354462244542
2025/07/11/14:10:41.271114,0.20860818188703173,0.0,0.0,0.0,0.0,-0.9187223264231356
2025/07/11/14:10:41.320996,0.20798321680366727,0.0,0.0,0.0,0.0,-0.9297614968257342
2025/07/11/14:10:41.371202,0.20778506088506188,0.0,0.0,0.0,0.0,-0.9366052694192031
2025/07/11/14:10:41.421464,0.20802635192619412,0.0,0.0,0.0,0.0,-0.9390138895039097
2025/07/11/14:10:41.470751,0.20871530440924135,0.0,0.0,0.0,0.0,-0.9368719916856314
2025/07/11/14:10:41.521281,0.2098555134624875,0.0,0.0,0.0,0.0,-0.9301966721446088
2025/07/11/14:10:41.570852,0.21144591225450604,0.0,0.0,0.0,0.0,-0.919136126124956
2025/07/11/14:10:41.621493,0.21348088408836263,0.0,0.0,0.0,0.0,-0.9039590288685891
2025/07/11/14:10:41.670508,0.2159505179917509,0.0,0.0,0.0,0.0,-0.8850360307404913
2025/07/11/14:10:41.721443,0.21884098587119927,0.0,0.0,0.0,0.0,-0.8628156527845151
2025/07/11/14:10:41.770795,0.22213501170874617,0.0,0.0,0.0,0.0,-0.8377973468021704
2025/07/11/14:10:41.821131,0.22581239955192928,0.0,0.0,0.0,0.0,-0.8105044816154866
2025/07/11/14:10:41.870887,0.22985058716331147,0.0,0.0,0.0,0.0,-0.7814596061460348
2025/07/11/14:10:41.921390,0.2342251955111796,0.0,0.0,0.0,0.0,-0.7511636681006033
2025/07/11/14:10:41.970856,0.23891054977851,0.0,0.0,0.0,0.0,-0.7200801052516682
2025/07/11/14:10:42.021178,0.24388015412060637,0.0,0.0,0.0,0.0,-0.6886240216640367
2025/07/11/14:10:42.071042,0.24910710901583355,0.0,0.0,0.0,0.0,-0.6571561097215687
2025/07/11/14:10:42.121543,0.25456446599297694,0.0,0.0,0.0,0.0,-0.625980619635591
2025/07/11/14:10:42.170879,0.26022551934963467,0.0,0.0,0.0,0.0,-0.5953465040690912
2025/07/11/14:10:42.221420,0.2660640380390213,0.0,0.0,0.0,0.0,-0.5654508406961194
2025/07/11/14:10:42.270736,0.2720544432418531,0.0,0.0,0.0,0.0,-0.5364437128486226
2025/07/11/14:10:42.321527,0.27817193842600374,0.0,0.0,0.0,0.0,-0.5084338625354654
2025/07/11/14:10:42.371020,0.28439259915640713,0.0,0.0,0.0,0.0,-0.48149458466773193
2025/07/11/14:10:42.421286,0.2906934297840858,0.0,0.0,0.0,0.0,-0.455669481254482
2025/07/11/14:10:42.470799,0.29705239362481,0.0,0.0,0.0,0.0,-0.43097782516670863
2025/07/11/14:10:42.521113,0.3034484225030471,0.0,0.0,0.0,0.0,-0.4074193885694911
2025/07/11/14:10:42.571276,0.30986141071149537,0.0,0.0,0.0,0.0,-0.384978670637288
2025/07/11/14:10:42.620901,0.3162721976076561,0.0,0.0,0.0,0.0,-0.36362851527261547
2025/07/11/14:10:42.670735,0.322662542291047,0.0,0.0,0.0,0.0,-0.34333314629853423
2025/07/11/14:10:42.720998,0.3290150931080956,0.0,0.0,0.0,0.0,-0.3240506693668148
2025/07/11/14:10:42.770973,0.3353133541293685,0.0,0.0,0.0,0.0,-0.3057351006511885
2025/07/11/14:10:42.821292,0.3415416502369713,0.0,0.0,0.0,0.0,-0.2883379856714576
2025/07/11/14:10:42.870764,0.3476850920430447,0.0,0.0,0.0,0.0,-0.27180966998455336
2025/07/11/14:10:42.921006,0.3537295415238784,0.0,0.0,0.0,0.0,-0.25610027896511534
2025/07/11/14:10:42.970866,0.35966157898769185,0.0,0.0,0.0,0.0,-0.24116045789147966
2025/07/11/14:10:43.021359,0.3654684717862764,0.0,0.0,0.0,0.0,-0.226941917002002
2025/07/11/14:10:43.070859,0.3711381450213466,0.0,0.0,0.0,0.0,-0.21339781969612215
2025/07/11/14:10:43.121054,0.37665915437648007,0.0,0.0,0.0,0.0,-0.20048304598398678
2025/07/11/14:10:43.170846,0.38202066111679245,0.0,0.0,0.0,0.0,-0.18815435782263012
2025/07/11/14:10:43.221136,0.3872124092345523,0.0,0.0,0.0,0.0,-0.1763704881891716
2025/07/11/14:10:43.270804,0.39222470467413517,0.0,0.0,0.0,0.0,-0.16509217163279163
2025/07/11/14:10:43.321026,0.3970483965397838,0.0,0.0,0.0,0.0,-0.15428213057815346
2025/07/11/14:10:43.371028,0.4016748601707526,0.0,0.0,0.0,0.0,-0.1439050287615306
2025/07/11/14:10:43.421277,0.4060959819580833,0.0,0.0,0.0,0.0,-0.13392740079419044
2025/07/11/14:10:43.470629,0.4103041457728613,0.0,0.0,0.0,0.0,-0.12431756489871333
2025/07/11/14:10:43.521047,0.4142922208760778,0.0,0.0,0.0,0.0,-0.11504552428184454
2025/07/11/14:10:43.570683,0.4180535511836714,0.0,0.0,0.0,0.0,-0.10608286133160562
2025/07/11/14:10:43.620904,0.4215819457656804,0.0,0.0,0.0,0.0,-0.09740262780663905
2025/07/11/14:10:43.670778,0.4248716704655414,0.0,0.0,0.0,0.0,-0.08897923337246447
2025/07/11/14:10:43.720976,0.42791744053332964,0.0,0.0,0.0,0.0,-0.08078833419511852
2025/07/11/14:10:43.771007,0.43071441417500167,0.0,0.0,0.0,0.0,-0.07280672279549295
2025/07/11/14:10:43.821057,0.4332581869282683,0.0,0.0,0.0,0.0,-0.06501221996975995
2025/07/11/14:10:43.870593,0.43554478678409647,0.0,0.0,0.0,0.0,-0.057383569271567986
2025/07/11/14:10:43.921152,0.4375706699812657,0.0,0.0,0.0,0.0,-0.049900334311179365
2025/07/11/14:10:43.970758,0.4393327174093528,0.0,0.0,0.0,0.0,-0.04254279894111214
2025/07/11/14:10:44.020714,0.44082823156339535,0.0,0.0,0.0,0.0,-0.03529187025665414
2025/07/11/14:10:44.070737,0.4420549340010828,0.0,0.0,0.0,0.0,-0.028128984231417967
2025/07/11/14:10:44.120614,0.44301096326043965,0.0,0.0,0.0,0.0,-0.02103601372698858
2025/07/11/14:10:44.170818,0.4436948732029437,0.0,0.0,0.0,0.0,-0.013995178555444413
2025/07/11/14:10:44.220711,0.44410563175380546,0.0,0.0,0.0,0.0,-0.006988957229069818
2025/07/11/14:10:44.270949,0.4442426200176136,0.0,0.0,0.0,0.0,0.0
2025/07/11/14:10:44.320820,0.4441056317538118,0.0,0.0,0.0,0.0,0.006988957229069818
2025/07/11/14:10:44.370794,0.4436948732029405,0.0,0.0,0.0,0.0,0.013995178555444413
2025/07/11/14:10:44.420724,0.4430109632604365,0.0,0.0,0.0,0.0,0.02103601372698858
2025/07/11/14:10:44.470809,0.4420549340010797,0.0,0.0,0.0,0.0,0.028128984231417967
2025/07/11/14:10:44.521334,0.44082823156339535,0.0,0.0,0.0,0.0,0.03529187025665414
2025/07/11/14:10:44.570736,0.4393327174093591,0.0,0.0,0.0,0.0,0.04254279894111214
2025/07/11/14:10:44.620643,0.4375706699812658,0.0,0.0,0.0,0.0,0.049900334311183556
2025/07/11/14:10:44.670926,0.4355447867840902,0.0,0.0,0.0,0.0,0.057383569271563795
2025/07/11/14:10:44.720728,0.43325818692826235,0.0,0.0,0.0,0.0,0.06501221996974738
2025/07/11/14:10:44.770961,0.4307144141750077,0.0,0.0,0.0,0.0,0.07280672279550132
2025/07/11/14:10:44.820790,0.42791744053333536,0.0,0.0,0.0,0.0,0.08078833419512689
2025/07/11/14:10:44.871105,0.42487167046553825,0.0,0.0,0.0,0.0,0.08897923337245608
2025/07/11/14:10:44.921228,0.4215819457656775,0.0,0.0,0.0,0.0,0.09740262780663905
2025/07/11/14:10:44.970799,0.4180535511836685,0.0,0.0,0.0,0.0,0.10608286133161819
2025/07/11/14:10:45.020989,0.41429222087608386,0.0,0.0,0.0,0.0,0.11504552428185712
2025/07/11/14:10:45.070838,0.4103041457728642,0.0,0.0,0.0,0.0,0.12431756489869657
2025/07/11/14:10:45.120964,0.40609598195808283,0.0,0.0,0.0,0.0,0.13392740079416948
2025/07/11/14:10:45.170932,0.4016748601707471,0.0,0.0,0.0,0.0,0.14390502876154737
2025/07/11/14:10:45.220820,0.3970483965397783,0.0,0.0,0.0,0.0,0.15428213057814927
2025/07/11/14:10:45.270763,0.39222470467414067,0.0,0.0,0.0,0.0,0.16509217163277906
2025/07/11/14:10:45.320812,0.3872124092345574,0.0,0.0,0.0,0.0,0.17637048818918416
2025/07/11/14:10:45.370910,0.38202066111679245,0.0,0.0,0.0,0.0,0.18815435782262593
2025/07/11/14:10:45.420847,0.37665915437647535,0.0,0.0,0.0,0.0,0.20048304598399097
2025/07/11/14:10:45.471090,0.3711381450213443,0.0,0.0,0.0,0.0,0.2133978196961431
2025/07/11/14:10:45.520745,0.3654684717862788,0.0,0.0,0.0,0.0,0.226941917002002
2025/07/11/14:10:45.571213,0.35966157898769663,0.0,0.0,0.0,0.0,0.2411604578914587
2025/07/11/14:10:45.621363,0.3537295415238779,0.0,0.0,0.0,0.0,0.25610027896511534
2025/07/11/14:10:45.671027,0.347685092043042,0.0,0.0,0.0,0.0,0.2718096699845701
2025/07/11/14:10:45.720692,0.34154165023696975,0.0,0.0,0.0,0.0,0.2883379856714492
2025/07/11/14:10:45.770644,0.33531335412937124,0.0,0.0,0.0,0.0,0.3057351006511843
2025/07/11/14:10:45.821601,0.32901509310809485,0.0,0.0,0.0,0.0,0.3240506693668274
2025/07/11/14:10:45.870835,0.32266254229104424,0.0,0.0,0.0,0.0,0.3433331462985133
2025/07/11/14:10:45.921631,0.3162721976076564,0.0,0.0,0.0,0.0,0.36362851527261125
2025/07/11/14:10:45.969377,0.30986141071149337,0.0,0.0,0.0,0.0,0.38497867063730895
2025/07/11/14:10:46.020769,0.30344842250305204,0.0,0.0,0.0,0.0,0.40741938856949944
2025/07/11/14:10:46.070616,0.29705239362481345,0.0,0.0,0.0,0.0,0.4309778251667212
2025/07/11/14:10:46.120703,0.2906934297840831,0.0,0.0,0.0,0.0,0.4556694812544736
2025/07/11/14:10:46.170793,0.2843925991564059,0.0,0.0,0.0,0.0,0.4814945846677068
2025/07/11/14:10:46.220874,0.2781719384260015,0.0,0.0,0.0,0.0,0.5084338625354529
2025/07/11/14:10:46.270717,0.2720544432418508,0.0,0.0,0.0,0.0,0.5364437128486309
2025/07/11/14:10:46.321271,0.2660640380390248,0.0,0.0,0.0,0.0,0.5654508406961236
2025/07/11/14:10:46.370619,0.2602255193496359,0.0,0.0,0.0,0.0,0.5953465040690871
2025/07/11/14:10:46.421705,0.25456446599297466,0.0,0.0,0.0,0.0,0.6259806196355951
2025/07/11/14:10:46.470928,0.24910710901583122,0.0,0.0,0.0,0.0,0.6571561097215813
2025/07/11/14:10:46.521013,0.24388015412060748,0.0,0.0,0.0,0.0,0.6886240216640367
2025/07/11/14:10:46.571182,0.2389105497785134,0.0,0.0,0.0,0.0,0.7200801052516599
2025/07/11/14:10:46.620854,0.2342251955111796,0.0,0.0,0.0,0.0,0.7511636681006033
2025/07/11/14:10:46.671668,0.22985058716331147,0.0,0.0,0.0,0.0,0.7814596061460307
2025/07/11/14:10:46.720998,0.2258123995519271,0.0,0.0,0.0,0.0,0.8105044816155076
2025/07/11/14:10:46.771749,0.22213501170874728,0.0,0.0,0.0,0.0,0.8377973468021747
2025/07/11/14:10:46.822411,0.21884098587119816,0.0,0.0,0.0,0.0,0.8628156527844816
2025/07/11/14:10:46.870871,0.2159505179917487,0.0,0.0,0.0,0.0,0.8850360307404788
2025/07/11/14:10:46.921660,0.21348088408836485,0.0,0.0,0.0,0.0,0.9039590288686017
2025/07/11/14:10:46.970985,0.21144591225450604,0.0,0.0,0.0,0.0,0.9191361261249728
2025/07/11/14:10:47.021668,0.20985551346248976,0.0,0.0,0.0,0.0,0.9301966721446088
2025/07/11/14:10:47.070864,0.20871530440924135,0.0,0.0,0.0,0.0,0.9368719916856356
2025/07/11/14:10:47.121547,0.2080263519261919,0.0,0.0,0.0,0.0,0.9390138895039307
2025/07/11/14:10:47.170844,0.2077850608850621,0.0,0.0,0.0,0.0,0.9366052694191904
2025/07/11/14:10:47.220957,0.20798321680366605,0.0,0.0,0.0,0.0,0.9297614968257133
2025/07/11/14:10:47.270667,0.2086081818870305,0.0,0.0,0.0,0.0,0.9187223264231439
2025/07/11/14:10:47.321321,0.2096432308278562,0.0,0.0,0.0,0.0,0.90383544622445
2025/07/11/14:10:47.370550,0.21106800213804455,0.0,0.0,0.0,0.0,0.8855337038501366
2025/07/11/14:10:47.421169,0.21285903349065327,0.0,0.0,0.0,0.0,0.8643086929256792
2025/07/11/14:10:47.470655,0.21499034624010416,0.0,0.0,0.0,0.0,0.8406835084755565
2025/07/11/14:10:47.521217,0.2174340449171256,0.0,0.0,0.0,0.0,0.815187172474406
2025/07/11/14:10:47.570669,0.22016090138094785,0.0,0.0,0.0,0.0,0.7883326155348741
2025/07/11/14:10:47.621253,0.22314089938086945,0.0,0.0,0.0,0.0,0.7605993477538185
2025/07/11/14:10:47.670629,0.22634372235295086,0.0,0.0,0.0,0.0,0.732421218623617
2025/07/11/14:10:47.721017,0.2297391743124883,0.0,0.0,0.0,0.0,0.7041790645998232
2025/07/11/14:10:47.770665,0.23329752993456743,0.0,0.0,0.0,0.0,0.6761976281851789
2025/07/11/14:10:47.821450,0.23698981490262017,0.0,0.0,0.0,0.0,0.6487459085603128
2025/07/11/14:10:47.870654,0.24078802120096054,0.0,0.0,0.0,0.0,0.6220400412191379
2025/07/11/14:10:47.920946,0.2446652642982997,0.0,0.0,0.0,0.0,0.5962478572838869
2025/07/11/14:10:47.970549,0.24859589031624385,0.0,0.0,0.0,0.0,0.5714943953601549
