time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:10:31.227195,0,0
2025/07/11/14:10:31.277401,0,0
2025/07/11/14:10:31.327250,0,0
2025/07/11/14:10:31.377465,0,0
2025/07/11/14:10:31.427414,0,0
2025/07/11/14:10:31.477441,0,0
2025/07/11/14:10:31.527268,0,0
2025/07/11/14:10:31.577464,0,0
2025/07/11/14:10:31.627159,0,0
2025/07/11/14:10:31.677119,0,0
2025/07/11/14:10:31.727193,0,0
2025/07/11/14:10:31.777276,0,0
2025/07/11/14:10:31.827333,0,0
2025/07/11/14:10:31.877477,0,0
2025/07/11/14:10:31.927600,0,0
2025/07/11/14:10:31.977301,0,0
2025/07/11/14:10:32.027432,0,0
2025/07/11/14:10:32.077280,0,0
2025/07/11/14:10:32.127209,0,0
2025/07/11/14:10:32.177176,0,0
2025/07/11/14:10:32.227291,0,0
2025/07/11/14:10:32.277305,0,0
2025/07/11/14:10:32.327241,0,0
2025/07/11/14:10:32.377493,0,0
2025/07/11/14:10:32.427250,0,0
2025/07/11/14:10:32.477430,0,0
2025/07/11/14:10:32.527200,0,0
2025/07/11/14:10:32.577371,0,0
2025/07/11/14:10:32.627217,0,0
2025/07/11/14:10:32.677467,0,0
2025/07/11/14:10:32.727482,0,0
2025/07/11/14:10:32.777464,0,0
2025/07/11/14:10:32.827269,0,0
2025/07/11/14:10:32.877567,0,0
2025/07/11/14:10:32.927271,0,0
2025/07/11/14:10:32.977191,0,0
2025/07/11/14:10:33.027245,0,0
2025/07/11/14:10:33.077216,0,0
2025/07/11/14:10:33.127257,0,0
2025/07/11/14:10:33.177477,0,0
2025/07/11/14:10:33.227449,0,0
2025/07/11/14:10:33.277447,0,0
2025/07/11/14:10:33.327231,0,0
2025/07/11/14:10:33.377614,0,0
2025/07/11/14:10:33.427352,0,0
2025/07/11/14:10:33.477257,0,0
2025/07/11/14:10:33.527328,0,0
2025/07/11/14:10:33.577461,0,0
2025/07/11/14:10:33.627268,0,0
2025/07/11/14:10:33.677288,0,0
2025/07/11/14:10:33.727305,0,0
2025/07/11/14:10:33.777432,0,0
2025/07/11/14:10:33.827487,0,0
2025/07/11/14:10:33.877599,0,0
2025/07/11/14:10:33.927339,0,0
2025/07/11/14:10:33.977576,0,0
2025/07/11/14:10:34.027321,0,0
2025/07/11/14:10:34.077440,0,0
2025/07/11/14:10:34.127209,0,0
2025/07/11/14:10:34.177449,0,0
2025/07/11/14:10:34.227232,0,0
2025/07/11/14:10:34.277500,0,0
2025/07/11/14:10:34.327338,0,0
2025/07/11/14:10:34.377190,0,0
2025/07/11/14:10:34.427303,0,0
2025/07/11/14:10:34.477447,0,0
2025/07/11/14:10:34.527270,0,0
2025/07/11/14:10:34.577533,0,0
2025/07/11/14:10:34.627244,0,0
2025/07/11/14:10:34.677498,0,0
2025/07/11/14:10:34.727345,0,0
2025/07/11/14:10:34.777381,0,0
2025/07/11/14:10:34.827252,0,0
2025/07/11/14:10:34.877216,0,0
2025/07/11/14:10:34.927252,0,0
2025/07/11/14:10:34.977471,0,0
2025/07/11/14:10:35.027288,0,0
2025/07/11/14:10:35.077505,0,0
2025/07/11/14:10:35.127187,0,0
2025/07/11/14:10:35.177518,0,0
2025/07/11/14:10:35.227292,0,0
2025/07/11/14:10:35.277467,0,0
2025/07/11/14:10:35.327319,0,0
2025/07/11/14:10:35.377588,0,0
2025/07/11/14:10:35.427399,0,0
2025/07/11/14:10:35.477461,0,0
2025/07/11/14:10:35.527303,0,0
