time,x,y,right_vel,left_vel
0.0,1.0,0.0,1.124743783706041,0.872550233278013
0.05,0.9987502603949663,0.049916708323414084,1.186123764351855,0.803080510146735
0.1,0.9950041652780256,0.09933466539753062,1.246278762199232,0.7207407119386708
0.15000000000000002,0.9887710779360421,0.14776010333066983,1.2430204535361122,0.6877232235773899
0.2,0.9800665778412417,0.19470917115432526,1.2401072845530978,0.6413452401024875
0.25,0.968912421710645,0.23971276930210147,1.2391928456130281,0.5815159522596964
0.30000000000000004,0.9553364891256061,0.2823212366975177,1.2423528326754956,0.5082707662214153
0.35000000000000003,0.9393727128473788,0.3221088436188455,1.2519195992149599,0.42201848909468953
0.4,0.921060994002885,0.35867804544976145,1.2700903479819172,0.3240297341773214
0.45,0.9004471023526768,0.39166345481374176,1.2981664118534733,0.2172874187113596
0.5,0.8775825618903725,0.42073549240394825,1.3353588107530283,0.10771036269826717
0.55,0.8525245220595057,0.44560368003071765,1.3774587750822151,0.005348327257822194
0.6000000000000001,0.8253356149096783,0.4660195429836132,1.4163879355912337,-0.07560969101864645
0.65,0.796083798549056,0.48177909270859653,1.442095941548005,-0.11957879465956955
0.7000000000000001,0.7648421872844885,0.49272486499423007,1.4470583946122861,-0.11519750299070275
0.75,0.731688868873821,0.4987474933020272,-14.277259467075494,15.64726885408743
0.8,0.6967067093471655,0.4997868015207527,-14.308023544106767,15.743322599752208
0.8500000000000001,0.6599831458849821,0.49583240522623423,1.365243561177432,0.1585644229528388
0.9,0.6216099682706644,0.4869238154390977,1.3357806373890997,0.2946043911774405
0.9500000000000001,0.5816830894638834,0.47315004384370724,1.31682225435239,0.4327626308324617
1.0,0.5403023058681397,0.4546487134128408,1.3097935194899453,0.5664636609746428
1.05,0.49757104789172696,0.43160468332443686,1.313547036045303,0.6922619259803722
1.1,0.45359612142557726,0.4042482019097951,1.3256615607307658,0.8086013674983754
1.1500000000000001,0.40848744088415717,0.3728526060883601,1.3433207750602427,0.9148996948496768
1.2000000000000002,0.36235775447667345,0.3377315902755753,1.3637847469250652,1.0110100596525906
1.25,0.31532236239526873,0.2992360720519782,1.3845945046547394,1.0969502462477922
1.3,0.2674988286245874,0.257750685910732,1.403632929519004,1.1727870671411154
1.35,0.21900668709304152,0.2136899401169149,1.4191190860819627,1.2386006522841844
1.4000000000000001,0.16996714290024081,0.16749407507795236,1.4295769247906656,1.2944860600952903
1.4500000000000002,0.1205027693673664,0.119624664606991,1.4337976129814483,1.340570449619855
1.5,0.0707372016677029,0.0705600040299336,1.4308033624588834,1.377035597859082
1.55,0.02079482780309243,0.020790331216645246,1.4198151456750676,1.4041415053433994
1.6,-0.029199522301288815,-0.029187071713790043,1.4002242739283917,1.4222497849195954
1.6500000000000001,-0.0791208888067341,-0.07887284707162434,1.3715668722679626,1.4318469633654314
