time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2025/07/11/14:08:39.834818,0.3122544180646751,0.0,0.0,0.0,0.0,-0.3018242889494218
2025/07/11/14:08:39.883787,0.3112179542256776,0.0,0.0,0.0,0.0,-0.30483425317003643
2025/07/11/14:08:39.934768,0.30995700385225156,0.0,0.0,0.0,0.0,-0.3085404780454614
2025/07/11/14:08:39.983669,0.3084751030640174,0.0,0.0,0.0,0.0,-0.31295942692160544
2025/07/11/14:08:40.034308,0.3067764611857045,0.0,0.0,0.0,0.0,-0.31811057078584454
2025/07/11/14:08:40.083889,0.30486597634078794,0.0,0.0,0.0,0.0,-0.3240163732372936
2025/07/11/14:08:40.133962,0.3027492537798517,0.0,0.0,0.0,0.0,-0.33070225437112405
2025/07/11/14:08:40.183679,0.30043262706969903,0.0,0.0,0.0,0.0,-0.33819652376091225
2025/07/11/14:08:40.233879,0.2979231822711346,0.0,0.0,0.0,0.0,-0.34653027016777077
2025/07/11/14:08:40.283966,0.2952287852267104,0.0,0.0,0.0,0.0,-0.35573719253437164
2025/07/11/14:08:40.334015,0.292358112061685,0.0,0.0,0.0,0.0,-0.3658533531675977
2025/07/11/14:08:40.384017,0.28932068296818,0.0,0.0,0.0,0.0,-0.3769168297106112
2025/07/11/14:08:40.433596,0.28612689928916507,0.0,0.0,0.0,0.0,-0.3889672375252856
2025/07/11/14:08:40.484188,0.2827880838395437,0.0,0.0,0.0,0.0,-0.40204508846180154
2025/07/11/14:08:40.534060,0.27931652428870224,0.0,0.0,0.0,0.0,-0.41619094578687094
2025/07/11/14:08:40.584721,0.27572551927359923,0.0,0.0,0.0,0.0,-0.4314443284993576
2025/07/11/14:08:40.634006,0.2720294267031577,0.0,0.0,0.0,0.0,-0.4478423118011616
2025/07/11/14:08:40.684229,0.26824371344137876,0.0,0.0,0.0,0.0,-0.4654177648072599
2025/07/11/14:08:40.734457,0.26438500520501457,0.0,0.0,0.0,0.0,-0.4841971627355008
2025/07/11/14:08:40.783780,0.26047113506830266,0.0,0.0,0.0,0.0,-0.5041979103764301
2025/07/11/14:08:40.834224,0.2565211884197628,0.0,0.0,0.0,0.0,-0.5254251187716483
2025/07/11/14:08:40.883790,0.25255554155534277,0.0,0.0,0.0,0.0,-0.5478677905985663
2025/07/11/14:08:40.934377,0.2485958903162444,0.0,0.0,0.0,0.0,-0.5714943953601088
2025/07/11/14:08:40.983793,0.24466526429829716,0.0,0.0,0.0,0.0,-0.5962478572838995
2025/07/11/14:08:41.034400,0.24078802120096254,0.0,0.0,0.0,0.0,-0.6220400412191924
2025/07/11/14:08:41.083945,0.23698981490262172,0.0,0.0,0.0,0.0,-0.6487459085603001
2025/07/11/14:08:41.134297,0.23329752993456787,0.0,0.0,0.0,0.0,-0.6761976281851747
2025/07/11/14:08:41.183920,0.2297391743124899,0.0,0.0,0.0,0.0,-0.7041790645998398
2025/07/11/14:08:41.234269,0.22634372235294575,0.0,0.0,0.0,0.0,-0.7324212186236085
2025/07/11/14:08:41.283692,0.223140899380871,0.0,0.0,0.0,0.0,-0.7605993477538269
2025/07/11/14:08:41.333915,0.22016090138094901,0.0,0.0,0.0,0.0,-0.7883326155348868
2025/07/11/14:08:41.384301,0.2174340449171268,0.0,0.0,0.0,0.0,-0.8151871724743683
2025/07/11/14:08:41.433778,0.21499034624010604,0.0,0.0,0.0,0.0,-0.8406835084755482
2025/07/11/14:08:41.483631,0.21285903349064772,0.0,0.0,0.0,0.0,-0.8643086929257002
2025/07/11/14:08:41.533737,0.21106800213804333,0.0,0.0,0.0,0.0,-0.8855337038501366
2025/07/11/14:08:41.584060,0.2096432308278574,0.0,0.0,0.0,0.0,-0.9038354462244542
2025/07/11/14:08:41.634111,0.20860818188703173,0.0,0.0,0.0,0.0,-0.9187223264231356
2025/07/11/14:08:41.683462,0.20798321680366727,0.0,0.0,0.0,0.0,-0.9297614968257342
2025/07/11/14:08:41.733237,0.20778506088506188,0.0,0.0,0.0,0.0,-0.9366052694192031
2025/07/11/14:08:41.784273,0.20802635192619412,0.0,0.0,0.0,0.0,-0.9390138895039097
2025/07/11/14:08:41.833545,0.20871530440924135,0.0,0.0,0.0,0.0,-0.9368719916856314
2025/07/11/14:08:41.883736,0.2098555134624875,0.0,0.0,0.0,0.0,-0.9301966721446088
