time,.enc_left_wheel,.enc_right_wheel
2025/07/11/14:08:41.677219,143,25
2025/07/11/14:08:41.727251,150,25
2025/07/11/14:08:41.777374,150,19
2025/07/11/14:08:41.827178,156,19
2025/07/11/14:08:41.877532,156,25
2025/07/11/14:08:41.927218,162,12
2025/07/11/14:08:41.977508,156,25
2025/07/11/14:08:42.027117,162,19
2025/07/11/14:08:42.077269,162,0
2025/07/11/14:08:42.127170,168,6
2025/07/11/14:08:42.177306,168,0
2025/07/11/14:08:42.227177,162,0
2025/07/11/14:08:42.277287,156,0
2025/07/11/14:08:42.327133,150,0
2025/07/11/14:08:42.377142,162,6
2025/07/11/14:08:42.427122,156,12
2025/07/11/14:08:42.477149,162,6
2025/07/11/14:08:42.527153,162,12
2025/07/11/14:08:42.577103,168,0
2025/07/11/14:08:42.627118,162,0
2025/07/11/14:08:42.677098,156,0
2025/07/11/14:08:42.727273,156,6
2025/07/11/14:08:42.777481,156,19
2025/07/11/14:08:42.827437,150,12
2025/07/11/14:08:42.877364,156,25
2025/07/11/14:08:42.927408,156,31
2025/07/11/14:08:42.977278,150,31
2025/07/11/14:08:43.027291,143,31
2025/07/11/14:08:43.077455,150,44
2025/07/11/14:08:43.127273,150,44
2025/07/11/14:08:43.177245,150,37
2025/07/11/14:08:43.227271,143,50
2025/07/11/14:08:43.277267,150,56
2025/07/11/14:08:43.327251,150,56
2025/07/11/14:08:43.377493,156,62
2025/07/11/14:08:43.427258,143,56
2025/07/11/14:08:43.477495,156,62
2025/07/11/14:08:43.527348,162,69
2025/07/11/14:08:43.577570,156,75
2025/07/11/14:08:43.627637,156,87
2025/07/11/14:08:43.677210,156,87
2025/07/11/14:08:43.727464,143,87
2025/07/11/14:08:43.777500,150,93
2025/07/11/14:08:43.827567,156,100
2025/07/11/14:08:43.877497,156,100
2025/07/11/14:08:43.927477,156,100
2025/07/11/14:08:43.977283,156,100
2025/07/11/14:08:44.027138,156,106
2025/07/11/14:08:44.077142,150,112
2025/07/11/14:08:44.127252,162,106
2025/07/11/14:08:44.177342,162,125
2025/07/11/14:08:44.227333,162,125
2025/07/11/14:08:44.277452,156,118
2025/07/11/14:08:44.327338,162,131
2025/07/11/14:08:44.377524,168,131
2025/07/11/14:08:44.427549,168,131
2025/07/11/14:08:44.477538,162,131
2025/07/11/14:08:44.527257,162,131
2025/07/11/14:08:44.577400,168,137
2025/07/11/14:08:44.627291,156,150
2025/07/11/14:08:44.677267,162,150
2025/07/11/14:08:44.727265,168,150
2025/07/11/14:08:44.777487,162,137
2025/07/11/14:08:44.827246,162,150
2025/07/11/14:08:44.877516,156,143
2025/07/11/14:08:44.927330,162,143
2025/07/11/14:08:44.977674,168,150
2025/07/11/14:08:45.027264,156,162
2025/07/11/14:08:45.077519,168,156
2025/07/11/14:08:45.127328,168,162
2025/07/11/14:08:45.177464,162,162
2025/07/11/14:08:45.227326,162,168
2025/07/11/14:08:45.277338,162,162
2025/07/11/14:08:45.327284,162,156
2025/07/11/14:08:45.377299,156,156
2025/07/11/14:08:45.427310,156,168
2025/07/11/14:08:45.477290,162,156
2025/07/11/14:08:45.527242,162,162
2025/07/11/14:08:45.577461,156,156
2025/07/11/14:08:45.627244,150,156
2025/07/11/14:08:45.677157,156,156
2025/07/11/14:08:45.727254,150,162
2025/07/11/14:08:45.777468,150,156
2025/07/11/14:08:45.827239,143,162
2025/07/11/14:08:45.877488,143,162
2025/07/11/14:08:45.927246,137,156
2025/07/11/14:08:45.977521,137,162
2025/07/11/14:08:46.027264,131,156
2025/07/11/14:08:46.077266,131,156
2025/07/11/14:08:46.127262,125,150
2025/07/11/14:08:46.177295,131,150
2025/07/11/14:08:46.227279,118,156
2025/07/11/14:08:46.277085,118,156
2025/07/11/14:08:46.327200,118,156
2025/07/11/14:08:46.377254,118,156
2025/07/11/14:08:46.427286,118,150
2025/07/11/14:08:46.477553,106,150
2025/07/11/14:08:46.527262,106,150
2025/07/11/14:08:46.577451,100,150
2025/07/11/14:08:46.627288,112,143
2025/07/11/14:08:46.677223,106,150
2025/07/11/14:08:46.727274,112,156
2025/07/11/14:08:46.777295,93,150
2025/07/11/14:08:46.827348,93,156
2025/07/11/14:08:46.877300,81,150
2025/07/11/14:08:46.927244,81,150
2025/07/11/14:08:46.977481,69,150
2025/07/11/14:08:47.027271,75,143
2025/07/11/14:08:47.077820,62,150
2025/07/11/14:08:47.127289,56,143
2025/07/11/14:08:47.177676,56,143
2025/07/11/14:08:47.227288,44,143
2025/07/11/14:08:47.277549,50,143
2025/07/11/14:08:47.327300,37,143
2025/07/11/14:08:47.377304,50,150
2025/07/11/14:08:47.427282,44,150
2025/07/11/14:08:47.477328,37,150
2025/07/11/14:08:47.527353,37,156
2025/07/11/14:08:47.577323,25,156
2025/07/11/14:08:47.627305,25,156
2025/07/11/14:08:47.677173,0,162
2025/07/11/14:08:47.727281,12,168
2025/07/11/14:08:47.777371,12,162
2025/07/11/14:08:47.827253,0,162
2025/07/11/14:08:47.877296,0,156
2025/07/11/14:08:47.927275,0,156
2025/07/11/14:08:47.977179,0,156
2025/07/11/14:08:48.027292,0,156
2025/07/11/14:08:48.077406,0,156
2025/07/11/14:08:48.127232,0,168
