time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2025/07/11/14:09:38.058342,0.23698981490262172,0.0,0.0,0.0,0.0,-0.6487459085603001
2025/07/11/14:09:38.108227,0.23329752993456787,0.0,0.0,0.0,0.0,-0.6761976281851747
2025/07/11/14:09:38.158211,0.2297391743124899,0.0,0.0,0.0,0.0,-0.7041790645998398
2025/07/11/14:09:38.208472,0.22634372235294575,0.0,0.0,0.0,0.0,-0.7324212186236085
2025/07/11/14:09:38.258571,0.223140899380871,0.0,0.0,0.0,0.0,-0.7605993477538269
2025/07/11/14:09:38.307484,0.22016090138094901,0.0,0.0,0.0,0.0,-0.7883326155348868
2025/07/11/14:09:38.358295,0.2174340449171268,0.0,0.0,0.0,0.0,-0.8151871724743683
2025/07/11/14:09:38.408357,0.21499034624010604,0.0,0.0,0.0,0.0,-0.8406835084755482
2025/07/11/14:09:38.458402,0.21285903349064772,0.0,0.0,0.0,0.0,-0.8643086929257002
2025/07/11/14:09:38.508158,0.21106800213804333,0.0,0.0,0.0,0.0,-0.8855337038501366
2025/07/11/14:09:38.558471,0.2096432308278574,0.0,0.0,0.0,0.0,-0.9038354462244542
2025/07/11/14:09:38.608190,0.20860818188703173,0.0,0.0,0.0,0.0,-0.9187223264231356
2025/07/11/14:09:38.658214,0.20798321680366727,0.0,0.0,0.0,0.0,-0.9297614968257342
2025/07/11/14:09:38.708318,0.20778506088506188,0.0,0.0,0.0,0.0,-0.9366052694192031
2025/07/11/14:09:38.758464,0.20802635192619412,0.0,0.0,0.0,0.0,-0.9390138895039097
2025/07/11/14:09:38.808447,0.20871530440924135,0.0,0.0,0.0,0.0,-0.9368719916856314
2025/07/11/14:09:38.858540,0.2098555134624875,0.0,0.0,0.0,0.0,-0.9301966721446088
2025/07/11/14:09:38.908069,0.21144591225450604,0.0,0.0,0.0,0.0,-0.919136126124956
2025/07/11/14:09:38.958358,0.21348088408836263,0.0,0.0,0.0,0.0,-0.9039590288685891
2025/07/11/14:09:39.008391,0.2159505179917509,0.0,0.0,0.0,0.0,-0.8850360307404913
2025/07/11/14:09:39.058356,0.21884098587119927,0.0,0.0,0.0,0.0,-0.8628156527845151
2025/07/11/14:09:39.108195,0.22213501170874617,0.0,0.0,0.0,0.0,-0.8377973468021704
2025/07/11/14:09:39.158312,0.22581239955192928,0.0,0.0,0.0,0.0,-0.8105044816154866
2025/07/11/14:09:39.208349,0.22985058716331147,0.0,0.0,0.0,0.0,-0.7814596061460348
2025/07/11/14:09:39.258203,0.2342251955111796,0.0,0.0,0.0,0.0,-0.7511636681006033
2025/07/11/14:09:39.308587,0.23891054977851,0.0,0.0,0.0,0.0,-0.7200801052516682
2025/07/11/14:09:39.358253,0.24388015412060637,0.0,0.0,0.0,0.0,-0.6886240216640367
2025/07/11/14:09:39.408240,0.24910710901583355,0.0,0.0,0.0,0.0,-0.6571561097215687
2025/07/11/14:09:39.458391,0.25456446599297694,0.0,0.0,0.0,0.0,-0.625980619635591
